genome_id,source,organism,genus,species,strain,closest_placement_reference
S1,custom,Streptomyces sp. PVA 94-07,Streptomyces,sp.,PVA 94-07,
S2,custom,Streptomyces sp. P8-2B-3,Streptomyces,sp.,P8-2B-3,
